task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
39	74/b29631	2030787	calibrate:CALIBRATE (39)	COMPLETED	0	2025-05-08 05:27:06.744	45.3s	38.6s	94.2%	656.7 MB	1011.9 MB	227.6 MB	3.9 MB
44	9b/872b13	2030791	calibrate:CALIBRATE (44)	COMPLETED	0	2025-05-08 05:27:09.004	43.2s	38.5s	94.3%	640 MB	995.9 MB	228.2 MB	4.5 MB
1	a0/fedad9	2030749	calibrate:CALIBRATE (1)	COMPLETED	0	2025-05-08 05:26:44.751	2m 27s	2m 20s	96.9%	641.8 MB	996.9 MB	229.9 MB	6.5 MB
51	72/f7d0f8	2030799	calibrate:CALIBRATE (51)	COMPLETED	0	2025-05-08 05:27:53.351	1m 39s	1m 32s	96.2%	642.8 MB	997.9 MB	232 MB	9.1 MB
18	6d/57d0db	2030765	calibrate:CALIBRATE (18)	COMPLETED	0	2025-05-08 05:26:54.252	3m 33s	3m 27s	97.8%	649.1 MB	1001.9 MB	239.9 MB	18 MB
42	bd/1fd1dd	2030790	calibrate:CALIBRATE (42)	COMPLETED	0	2025-05-08 05:27:08.472	3m 19s	3m 15s	97.8%	643.3 MB	997.9 MB	239.4 MB	17.4 MB
11	07/bf8b52	2030758	calibrate:CALIBRATE (11)	COMPLETED	0	2025-05-08 05:26:50.167	3m 42s	3m 36s	98.3%	669.3 MB	1 GB	240.2 MB	18.4 MB
24	4a/f41038	2030771	calibrate:CALIBRATE (24)	COMPLETED	0	2025-05-08 05:26:57.786	3m 44s	3m 39s	98.3%	672.8 MB	1 GB	241.3 MB	20.1 MB
33	26/0e39bb	2030781	calibrate:CALIBRATE (33)	COMPLETED	0	2025-05-08 05:27:03.430	3m 44s	3m 37s	98.4%	642.6 MB	997.9 MB	241.8 MB	19.7 MB
53	5d/431a5c	2030801	calibrate:CALIBRATE (53)	COMPLETED	0	2025-05-08 05:29:12.567	1m 39s	1m 36s	96.5%	636.4 MB	989.7 MB	232.1 MB	9.2 MB
36	df/6f1701	2030783	calibrate:CALIBRATE (36)	COMPLETED	0	2025-05-08 05:27:04.471	4m 7s	4m 4s	98.4%	648.6 MB	1001.9 MB	240.9 MB	19.2 MB
17	94/c2172e	2030764	calibrate:CALIBRATE (17)	COMPLETED	0	2025-05-08 05:26:53.655	4m 53s	4m 43s	98.5%	707.9 MB	1 GB	253.5 MB	34.7 MB
26	1d/af9444	2030773	calibrate:CALIBRATE (26)	COMPLETED	0	2025-05-08 05:26:59.142	4m 48s	4m 41s	98.4%	707.8 MB	1 GB	253.3 MB	34.5 MB
60	59/85247c	2030807	calibrate:CALIBRATE (60)	COMPLETED	0	2025-05-08 05:30:47.664	1m 19s	1m 14s	96.5%	643.3 MB	996.9 MB	232.4 MB	9.1 MB
32	c6/936598	2030778	calibrate:CALIBRATE (32)	COMPLETED	0	2025-05-08 05:27:01.761	5m 10s	5m 3s	98.6%	670 MB	1 GB	247.8 MB	26.3 MB
40	11/30f623	2030786	calibrate:CALIBRATE (40)	COMPLETED	0	2025-05-08 05:27:06.234	5m 6s	4m 58s	98.7%	710.2 MB	1 GB	253.7 MB	34.8 MB
58	db/076394	2030808	calibrate:CALIBRATE (58)	COMPLETED	0	2025-05-08 05:30:53.992	1m 38s	1m 33s	97.1%	644.8 MB	997.9 MB	232 MB	9.1 MB
23	64/e652e7	2030769	calibrate:CALIBRATE (23)	COMPLETED	0	2025-05-08 05:26:56.694	5m 40s	5m 32s	98.6%	655.8 MB	1009.3 MB	244.3 MB	23 MB
13	d9/5f5de3	2030761	calibrate:CALIBRATE (13)	COMPLETED	0	2025-05-08 05:26:51.821	6m	5m 54s	98.6%	675.1 MB	1 GB	246.1 MB	25.1 MB
10	06/365857	2030757	calibrate:CALIBRATE (10)	COMPLETED	0	2025-05-08 05:26:49.549	6m 7s	6m 4s	98.6%	655 MB	1010.7 MB	245.2 MB	24.1 MB
62	96/ef6596	2030810	calibrate:CALIBRATE (62)	COMPLETED	0	2025-05-08 05:31:47.695	1m 19s	1m 11s	96.4%	641.6 MB	996.9 MB	232.1 MB	8.8 MB
7	ba/ad12ce	2030754	calibrate:CALIBRATE (7)	COMPLETED	0	2025-05-08 05:26:47.792	6m 44s	6m 38s	98.7%	680.4 MB	1 GB	247.8 MB	27.1 MB
34	7d/1c5d77	2030780	calibrate:CALIBRATE (34)	COMPLETED	0	2025-05-08 05:27:02.959	6m 34s	6m 27s	98.9%	680.8 MB	1 GB	250.4 MB	29.8 MB
27	5d/c10256	2030774	calibrate:CALIBRATE (27)	COMPLETED	0	2025-05-08 05:26:59.660	7m 7s	6m 59s	98.7%	688.2 MB	1 GB	251.3 MB	31.4 MB
2	d7/9e107e	2030748	calibrate:CALIBRATE (2)	COMPLETED	0	2025-05-08 05:26:44.039	7m 38s	7m 33s	98.4%	685 MB	1 GB	249 MB	28.4 MB
21	12/c1afb2	2030768	calibrate:CALIBRATE (21)	COMPLETED	0	2025-05-08 05:26:56.113	7m 36s	7m 28s	98.8%	676.4 MB	1 GB	250.9 MB	29.8 MB
46	93/898b2a	2030792	calibrate:CALIBRATE (46)	COMPLETED	0	2025-05-08 05:27:09.531	7m 37s	7m 29s	98.9%	690.7 MB	1 GB	250.5 MB	30.4 MB
47	e9/ddff9b	2030794	calibrate:CALIBRATE (47)	COMPLETED	0	2025-05-08 05:27:10.657	8m 6s	7m 57s	98.8%	714.7 MB	1 GB	260.3 MB	42.1 MB
76	a3/753c8a	2030825	calibrate:CALIBRATE (76)	COMPLETED	0	2025-05-08 05:34:32.590	1m 9s	1m 3s	96.1%	641.1 MB	996.9 MB	232.3 MB	9.2 MB
80	78/734cfa	2030828	calibrate:CALIBRATE (80)	COMPLETED	0	2025-05-08 05:35:42.544	39.4s	31.3s	93.3%	621.8 MB	973.8 MB	227.3 MB	3.5 MB
73	7f/9afc5b	2030823	calibrate:CALIBRATE (73)	COMPLETED	0	2025-05-08 05:34:07.619	2m 49s	2m 43s	97.9%	644.6 MB	997.9 MB	236.8 MB	14.1 MB
50	2a/b9a6ad	2030797	calibrate:CALIBRATE (50)	COMPLETED	0	2025-05-08 05:27:12.210	10m 5s	10m	99.1%	697.6 MB	1 GB	257 MB	37.3 MB
3	1b/bf9f65	2030750	calibrate:CALIBRATE (3)	COMPLETED	0	2025-05-08 05:26:45.299	10m 47s	10m 38s	98.9%	697.4 MB	1 GB	254.4 MB	34.6 MB
35	e9/73058a	2030782	calibrate:CALIBRATE (35)	COMPLETED	0	2025-05-08 05:27:03.951	11m 18s	11m 11s	99.1%	697.9 MB	1 GB	255.6 MB	35.7 MB
68	c0/a0e696	2030816	calibrate:CALIBRATE (68)	COMPLETED	0	2025-05-08 05:32:37.555	5m 49s	5m 45s	98.6%	706.7 MB	1 GB	277.2 MB	58 MB
63	ad/1bb476	2030811	calibrate:CALIBRATE (63)	COMPLETED	0	2025-05-08 05:31:48.235	6m 44s	6m 36s	98.7%	701.8 MB	1 GB	254.6 MB	35.6 MB
82	2f/3b4bb7	2030831	calibrate:CALIBRATE (82)	COMPLETED	0	2025-05-08 05:36:57.553	1m 39s	1m 35s	97.5%	659.8 MB	1021.9 MB	237.8 MB	15.3 MB
70	ed/8f7751	2030818	calibrate:CALIBRATE (70)	COMPLETED	0	2025-05-08 05:32:57.549	5m 49s	5m 42s	98.6%	670.6 MB	1 GB	248.1 MB	26.7 MB
16	d4/de471e	2030763	calibrate:CALIBRATE (16)	COMPLETED	0	2025-05-08 05:26:53.081	12m 14s	12m 7s	98.9%	694.9 MB	1 GB	264.9 MB	45.4 MB
19	fb/a2fad4	2030766	calibrate:CALIBRATE (19)	COMPLETED	0	2025-05-08 05:26:54.884	12m 12s	12m 8s	98.9%	691.2 MB	1 GB	274.8 MB	58.1 MB
67	9e/854c10	2030815	calibrate:CALIBRATE (67)	COMPLETED	0	2025-05-08 05:32:32.527	6m 35s	6m 29s	98.7%	654.8 MB	1007.6 MB	249.7 MB	28.6 MB
78	09/31b335	2030827	calibrate:CALIBRATE (78)	COMPLETED	0	2025-05-08 05:35:17.603	4m 4s	3m 58s	98.6%	670.9 MB	1 GB	240.1 MB	18.6 MB
72	2a/066f4e	2030821	calibrate:CALIBRATE (72)	COMPLETED	0	2025-05-08 05:33:32.572	6m 4s	6m 1s	98.6%	655.2 MB	1010.6 MB	250.4 MB	29.3 MB
81	18/f772ac	2030832	calibrate:CALIBRATE (81)	COMPLETED	0	2025-05-08 05:37:17.610	2m 39s	2m 34s	98.2%	671.9 MB	1 GB	244.2 MB	22.7 MB
71	8b/513003	2030819	calibrate:CALIBRATE (71)	COMPLETED	0	2025-05-08 05:33:07.519	6m 59s	6m 53s	98.8%	677.2 MB	1 GB	252.6 MB	31.7 MB
20	ac/bd1f4b	2030767	calibrate:CALIBRATE (20)	COMPLETED	0	2025-05-08 05:26:55.432	13m 17s	13m 10s	98.9%	692.9 MB	1 GB	275.7 MB	59.2 MB
38	0a/fb97e4	2030785	calibrate:CALIBRATE (38)	COMPLETED	0	2025-05-08 05:27:05.702	13m 6s	12m 59s	99.1%	704.1 MB	1 GB	270.4 MB	51.4 MB
86	18/530e29	2030836	calibrate:CALIBRATE (86)	COMPLETED	0	2025-05-08 05:38:32.593	1m 39s	1m 34s	97.4%	634.7 MB	987 MB	231.8 MB	8.5 MB
31	d9/cc6389	2030779	calibrate:CALIBRATE (31)	COMPLETED	0	2025-05-08 05:27:02.437	13m 20s	13m 10s	99.0%	694.8 MB	1 GB	274.3 MB	57.7 MB
90	99/a73d6a	2030841	calibrate:CALIBRATE (90)	COMPLETED	0	2025-05-08 05:39:08.920	1m 13s	1m 9s	96.6%	641.5 MB	996.9 MB	230.8 MB	7.7 MB
94	a2/e7032b	2030845	calibrate:CALIBRATE (94)	COMPLETED	0	2025-05-08 05:39:57.608	24.4s	20.8s	90.5%	608.5 MB	968.4 MB	224.9 MB	770.8 KB
22	3a/22999e	2030770	calibrate:CALIBRATE (22)	COMPLETED	0	2025-05-08 05:26:57.224	13m 55s	13m 50s	99.0%	690.3 MB	1 GB	274.1 MB	57.4 MB
85	32/877b47	2030835	calibrate:CALIBRATE (85)	COMPLETED	0	2025-05-08 05:38:27.660	2m 24s	2m 16s	97.9%	677.7 MB	1 GB	247.4 MB	26.3 MB
12	99/ea0437	2030759	calibrate:CALIBRATE (12)	COMPLETED	0	2025-05-08 05:26:50.720	14m 31s	14m 25s	99.0%	714 MB	1 GB	275.7 MB	57.1 MB
79	9a/54de2d	2030829	calibrate:CALIBRATE (79)	COMPLETED	0	2025-05-08 05:36:22.527	5m 24s	5m 20s	98.8%	675 MB	1 GB	247.9 MB	26.4 MB
83	37/6bb1a4	2030834	calibrate:CALIBRATE (83)	COMPLETED	0	2025-05-08 05:38:22.625	3m 29s	3m 24s	98.4%	653.1 MB	1003.9 MB	240 MB	18.5 MB
101	e9/712958	2030852	calibrate:CALIBRATE (101)	COMPLETED	0	2025-05-08 05:40:23.733	1m 43s	1m 36s	97.4%	642.9 MB	997.9 MB	232.1 MB	9.3 MB
102	b4/d84827	2030853	calibrate:CALIBRATE (102)	COMPLETED	0	2025-05-08 05:40:52.729	1m 29s	1m 22s	96.9%	637 MB	991.6 MB	231.3 MB	8.3 MB
8	3b/e6c254	2030755	calibrate:CALIBRATE (8)	COMPLETED	0	2025-05-08 05:26:48.295	15m 54s	15m 46s	99.0%	688.6 MB	1 GB	269.7 MB	52.3 MB
105	25/ebcb6d	2030856	calibrate:CALIBRATE (105)	COMPLETED	0	2025-05-08 05:41:47.675	1m 19s	1m 15s	96.8%	643 MB	996.9 MB	232 MB	8.9 MB
9	e2/644fdc	2030756	calibrate:CALIBRATE (9)	COMPLETED	0	2025-05-08 05:26:48.882	16m 23s	16m 18s	99.0%	716.7 MB	1 GB	277.5 MB	59.2 MB
92	5e/18f44d	2030843	calibrate:CALIBRATE (92)	COMPLETED	0	2025-05-08 05:39:22.577	3m 54s	3m 49s	98.5%	665.9 MB	1021.2 MB	251.7 MB	31.3 MB
49	fb/99ec6b	2030796	calibrate:CALIBRATE (49)	COMPLETED	0	2025-05-08 05:27:11.727	16m 25s	16m 17s	99.2%	672.9 MB	1 GB	275.7 MB	57.1 MB
4	8f/8142f9	2030751	calibrate:CALIBRATE (4)	COMPLETED	0	2025-05-08 05:26:45.865	16m 56s	16m 50s	99.0%	720.2 MB	1 GB	283.6 MB	68.1 MB
107	d8/315a21	2030859	calibrate:CALIBRATE (107)	COMPLETED	0	2025-05-08 05:42:22.567	1m 34s	1m 31s	97.2%	644.1 MB	997.9 MB	231.6 MB	8.6 MB
111	69/5b8e0b	2030863	calibrate:CALIBRATE (111)	COMPLETED	0	2025-05-08 05:43:17.678	39.3s	32.5s	93.5%	621.3 MB	973.3 MB	226 MB	2.2 MB
5	4f/b3b235	2030752	calibrate:CALIBRATE (5)	COMPLETED	0	2025-05-08 05:26:46.484	17m 16s	17m 12s	99.0%	724.8 MB	1 GB	283.1 MB	67.7 MB
6	dc/66bc11	2030753	calibrate:CALIBRATE (6)	COMPLETED	0	2025-05-08 05:26:47.262	17m 15s	17m 8s	99.0%	718.1 MB	1.1 GB	286.2 MB	70.9 MB
65	9d/49da65	2030813	calibrate:CALIBRATE (65)	COMPLETED	0	2025-05-08 05:32:12.681	11m 49s	11m 46s	99.0%	710.1 MB	1 GB	262.5 MB	43.5 MB
74	de/ace8dd	2030822	calibrate:CALIBRATE (74)	COMPLETED	0	2025-05-08 05:33:37.574	10m 34s	10m 28s	99.1%	693.5 MB	1 GB	263.2 MB	43.5 MB
89	12/eacaee	2030839	calibrate:CALIBRATE (89)	COMPLETED	0	2025-05-08 05:39:07.841	5m 24s	5m 18s	98.6%	675.8 MB	1 GB	245.4 MB	24.5 MB
103	10/400fcc	2030854	calibrate:CALIBRATE (103)	COMPLETED	0	2025-05-08 05:40:53.261	3m 39s	3m 34s	98.4%	636.8 MB	990 MB	239.1 MB	16.7 MB
75	e5/229db3	2030824	calibrate:CALIBRATE (75)	COMPLETED	0	2025-05-08 05:34:22.586	11m 4s	11m 1s	99.1%	701.1 MB	1 GB	264 MB	44.5 MB
61	8e/67253f	2030809	calibrate:CALIBRATE (61)	COMPLETED	0	2025-05-08 05:31:12.582	14m 19s	14m 14s	99.1%	690.8 MB	1 GB	261.5 MB	41.7 MB
69	c1/903e6a	2030817	calibrate:CALIBRATE (69)	COMPLETED	0	2025-05-08 05:32:52.647	12m 44s	12m 38s	99.0%	690.4 MB	1 GB	262.1 MB	42.3 MB
45	fc/7b6e97	2030793	calibrate:CALIBRATE (45)	COMPLETED	0	2025-05-08 05:27:10.084	18m 32s	18m 25s	99.2%	711.1 MB	1 GB	273.6 MB	55.2 MB
100	4b/283748	2030851	calibrate:CALIBRATE (100)	COMPLETED	0	2025-05-08 05:40:23.199	5m 29s	5m 26s	98.7%	638.8 MB	991.5 MB	236.5 MB	13.9 MB
88	d4/7a2954	2030837	calibrate:CALIBRATE (88)	COMPLETED	0	2025-05-08 05:38:37.581	7m 24s	7m 17s	98.8%	648.1 MB	1003.4 MB	240.2 MB	18.6 MB
37	aa/aa8f4e	2030784	calibrate:CALIBRATE (37)	COMPLETED	0	2025-05-08 05:27:05.166	19m 2s	18m 56s	99.3%	691.8 MB	1 GB	278.2 MB	60.7 MB
91	57/0cf679	2030840	calibrate:CALIBRATE (91)	COMPLETED	0	2025-05-08 05:39:08.392	7m 9s	7m 1s	98.7%	688.5 MB	1 GB	251 MB	30.9 MB
117	59/64268a	2030867	calibrate:CALIBRATE (117)	COMPLETED	0	2025-05-08 05:43:58.214	2m 39s	2m 30s	97.9%	643.5 MB	999 MB	237.1 MB	15.1 MB
