task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	0e/0019fc	2030271	run_tasks:CREATE_PSMS (2)	FAILED	186	2025-05-07 18:38:56.608	6s	4.9s	-	-	-	-	-
11	04/21ba6e	2030281	run_tasks:CREATE_PSMS (11)	FAILED	186	2025-05-07 18:39:03.472	9.2s	5s	-	-	-	-	-
12	16/22bc9d	2030282	run_tasks:CREATE_PSMS (12)	COMPLETED	0	2025-05-07 18:39:13.177	7m 24s	7m 17s	56.8%	415.2 MB	582.1 MB	83.3 GB	1.8 GB
7	60/f146eb	2030277	run_tasks:CREATE_PSMS (7)	COMPLETED	0	2025-05-07 18:39:00.302	24m 37s	24m 34s	44.4%	1.4 GB	1.6 GB	467.6 GB	6.7 GB
15	0c/3227d1	2030306	run_tasks:CREATE_PSMS (15)	FAILED	186	2025-05-07 19:03:38.262	9.4s	4.5s	-	-	-	-	-
14	66/70fa8e	2030307	run_tasks:CREATE_PSMS (14)	FAILED	186	2025-05-07 19:03:48.268	4.4s	17ms	-	-	-	-	-
17	78/ec7bf4	2030308	run_tasks:CREATE_PSMS (17)	FAILED	186	2025-05-07 19:03:53.433	9.3s	5s	-	-	-	-	-
5	56/11a017	2030275	run_tasks:CREATE_PSMS (5)	COMPLETED	0	2025-05-07 18:38:59.171	26m 19s	26m 16s	44.0%	1.6 GB	1.8 GB	482.2 GB	7.4 GB
6	4c/64ecea	2030276	run_tasks:CREATE_PSMS (6)	COMPLETED	0	2025-05-07 18:38:59.717	38m 48s	38m 42s	46.9%	3.2 GB	3.4 GB	710 GB	10.5 GB
10	23/3f651f	2030280	run_tasks:CREATE_PSMS (10)	COMPLETED	0	2025-05-07 18:39:01.901	39m 26s	39m 21s	45.5%	3.2 GB	3.4 GB	704.7 GB	10.4 GB
9	0c/8bdef0	2030279	run_tasks:CREATE_PSMS (9)	COMPLETED	0	2025-05-07 18:39:01.374	40m 41s	40m 35s	43.6%	3.3 GB	3.5 GB	702.1 GB	9.9 GB
3	53/2690ed	2030273	run_tasks:CREATE_PSMS (3)	COMPLETED	0	2025-05-07 18:38:57.964	48m 5s	47m 58s	52.7%	1.5 GB	1.7 GB	508 GB	12.1 GB
8	b2/6b14bd	2030278	run_tasks:CREATE_PSMS (8)	COMPLETED	0	2025-05-07 18:39:00.870	49m 2s	48m 55s	45.3%	2.5 GB	2.6 GB	983.1 GB	13.7 GB
18	3c/fc7a32	2030310	run_tasks:CREATE_PSMS (18)	COMPLETED	0	2025-05-07 19:05:19.316	37m 13s	37m 7s	46.2%	2.2 GB	2.3 GB	734 GB	9.3 GB
16	2f/a467d8	2030309	run_tasks:CREATE_PSMS (16)	COMPLETED	0	2025-05-07 19:04:03.201	44m 35s	44m 27s	57.2%	1.3 GB	1.5 GB	507.3 GB	12.2 GB
20	79/8c4b51	2030330	run_tasks:CREATE_PSMS (20)	COMPLETED	0	2025-05-07 19:18:28.355	35m 19s	35m 14s	58.3%	1.1 GB	1.2 GB	426.4 GB	8.9 GB
21	95/da38a3	2030331	run_tasks:CREATE_PSMS (21)	COMPLETED	0	2025-05-07 19:19:43.356	34m 14s	34m 10s	47.8%	2.1 GB	2.2 GB	706.9 GB	9 GB
19	2e/32f81c	2030329	run_tasks:CREATE_PSMS (19)	COMPLETED	0	2025-05-07 19:17:48.348	47m 5s	46m 56s	54.4%	1.4 GB	1.6 GB	512.6 GB	12.3 GB
24	2c/d5888a	2030342	run_tasks:CREATE_PSMS (24)	COMPLETED	0	2025-05-07 19:42:33.482	36m 14s	36m 9s	52.3%	2.5 GB	2.6 GB	820.2 GB	8.1 GB
22	09/cac1fe	2030335	run_tasks:CREATE_PSMS (22)	COMPLETED	0	2025-05-07 19:27:03.300	56m 50s	56m 42s	61.6%	3.7 GB	4.4 GB	642.1 GB	13.1 GB
26	7d/cba79a	2030350	run_tasks:CREATE_PSMS (26)	COMPLETED	0	2025-05-07 19:53:48.370	34m 5s	33m 55s	57.2%	1.6 GB	1.8 GB	389.3 GB	7.8 GB
